Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0402_1005Metric,24.95923,-44.11057,0.0,bottom
C2,1u,C_0402_1005Metric,15.981516,-14.128757,0.0,bottom
C3,1u,C_0402_1005Metric,12.88962,-17.322205,90.0,bottom
C4,100n,C_0402_1005Metric,32.5,-35.1,180.0,bottom
C5,100n,C_0402_1005Metric,22.46265,-43.251109,270.0,bottom
C6,100n,C_0402_1005Metric,23.75173,-34.076648,90.0,bottom
C7,100n,C_0402_1005Metric,30.15,-34.08,90.0,bottom
C8,100n,C_0402_1005Metric,32.425903,-42.220728,180.0,bottom
C9,100n,C_0402_1005Metric,71.026939,-77.201119,0.0,bottom
C10,220p,C_0402_1005Metric,30.195903,-52.192271,0.0,bottom
C11,100n,C_0402_1005Metric,32.425903,-43.41136,0.0,bottom
C12,100n,C_0402_1005Metric,232.470117,-73.265115,0.0,bottom
C13,1u,C_0402_1005Metric,32.425903,-41.030096,180.0,bottom
D1,PRTR5V0U2X,SOT-143,18.777367,-15.078757,0.0,bottom
F1,500mA,Fuse_1206_3216Metric,16.87449,-10.911545,90.0,bottom
J1,JST,JST-SR-4,47.9,-20.240744,270.0,bottom
R1,5.1k,R_0402_1005Metric,9.227367,-1.822681,180.0,bottom
R2,5.1k,R_0402_1005Metric,28.227367,-1.822681,180.0,bottom
R3,100,R_0402_1005Metric,25.506136,-50.499886,270.0,bottom
R4,100,R_0402_1005Metric,24.31565,-50.499533,90.0,bottom
R5,100,R_0402_1005Metric,26.696906,-50.499533,270.0,bottom
R6,100,R_0402_1005Metric,6.45623,-40.081538,180.0,bottom
R7,100,R_0402_1005Metric,16.874225,-37.402625,90.0,bottom
R8,100k,R_0402_1005Metric,27.1,-76.8,90.0,bottom
R9,100k,R_0402_1005Metric,63.5,-75.9,90.0,bottom
R10,100k,R_0402_1005Metric,76.5,-73.5,180.0,bottom
R11,100k,R_0402_1005Metric,47.8,-79.1,270.0,bottom
R12,100k,R_0402_1005Metric,147.2,-77.21,270.0,bottom
R13,100k,R_0402_1005Metric,79.8,-81.51,270.0,bottom
R14,100k,R_0402_1005Metric,113.8,-78.01,270.0,bottom
R15,100k,R_0402_1005Metric,94.4,-78.832681,270.0,bottom
R16,100k,R_0402_1005Metric,34.336154,-52.528572,0.0,bottom
R17,1k,R_0402_1005Metric,31.945903,-53.038572,270.0,bottom
R18,100k,R_0402_1005Metric,179.6,-77.2,270.0,bottom
R19,100k,R_0402_1005Metric,211.422496,-73.43621,270.0,bottom
R20,100k,R_0402_1005Metric,228.09,-73.82,0.0,bottom
R21,100k,R_0402_1005Metric,208.78,-78.86,180.0,bottom
R22,100k,R_0402_1005Metric,18.064853,-37.402625,90.0,bottom
R23,100k,R_0402_1005Metric,241.251809,-78.482681,270.0,bottom
R24,100k,R_0402_1005Metric,263.129672,-78.198738,270.0,bottom
R25,100k,R_0402_1005Metric,259.408947,-78.135225,0.0,bottom
R26,10k,R_0402_1005Metric,33.932898,-41.67198,90.0,bottom
R27,10k,R_0402_1005Metric,28.59,-34.46,180.0,bottom
R28,10k,R_0402_1005Metric,24.92923,-45.142215,180.0,bottom
U1,STM32F401CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,27.18923,-39.333609,0.0,bottom
U2,74HC4051,TSSOP16,73.682154,-80.665047,270.0,bottom
U3,OPA350,SOIC-8_3.9x4.9mm_P1.27mm,31.310903,-47.821137,90.0,bottom
U4,74HC4051,TSSOP16,235.125332,-77.0267,270.0,bottom
U5,XC6206PxxxMR,SOT-23,15.237371,-16.864705,90.0,bottom
USB1,TYPEC-304YSSW-ACP16,TYPEC-304YSSW-ACP16,18.277367,0.977319,180.0,bottom
Y1,8 MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,33.156823,-37.883609,90.0,bottom
